herb,中药,symptom,肝硬化症状,临床有效,临床出现,score
U174,地黄,S48,咳嗽,0,1,121536.5
U120,川芎,S25,浮肿,0,1,121536.5
U124,穿山龙,S25,浮肿,0,0,121536.5
U359,槐花,S25,浮肿,0,1,121536.5
U262,葛根,S06,便秘,0,1,121536.5
U125,穿心莲,S48,咳嗽,0,1,121536.5
U325,红花,S48,咳嗽,0,1,121536.5
U306,合欢花,S48,咳嗽,0,1,121536.5
U674,桑白皮,S48,咳嗽,0,1,121536.5
U416,金钱草,S48,咳嗽,0,1,121536.5
U59,北沙参,S25,浮肿,1,1,121536.5
U393,蒺藜,S88,头晕,0,1,121536.5
U262,葛根,S501,主观性眩晕,0,0,121536.5
U382,藿香,S48,咳嗽,1,1,121536.5
U36,白芍,S48,咳嗽,0,1,121536.5
U602,牛膝,S88,头晕,0,1,121495
U314,黑豆,S501,主观性眩晕,0,0,121495
U856,豨莶草,S25,浮肿,0,1,121419
U120,川芎,S501,主观性眩晕,0,0,121410
U678,桑椹,S501,主观性眩晕,0,0,121176
U973,云芝,S25,浮肿,0,1,121159
U674,桑白皮,S25,浮肿,1,1,121159
U685,山豆根,S21,乏力,1,1,121159
U141,大黄,S48,咳嗽,0,1,121159
U544,蔓荆子,S88,头晕,0,1,121159
U321,红参,S87,头痛,0,0,121122.5
U260,藁本,S398,痛觉过敏,0,0,121122.5
U146,大青叶,S48,咳嗽,0,1,121122.5
U87,苍术,S25,浮肿,1,1,121122.5
U196,独活,S398,痛觉过敏,0,0,121122.5
U95,柴胡,S20,发热,1,1,121122.5
U654,忍冬藤,S25,浮肿,0,1,121105.5
U258,高良姜,S25,浮肿,0,1,121105.5
U962,玉竹,S88,头晕,0,1,121105.5
U340,胡芦巴,S48,咳嗽,0,1,121105.5
U269,谷精草,S25,浮肿,0,0,121105.5
U305,诃子,S25,浮肿,0,1,121105.5
U52,半边莲,S48,咳嗽,0,1,121105.5
U447,决明子,S501,主观性眩晕,0,0,121105.5
U884,小蓟,S25,浮肿,0,1,121105.5
U650,人参,S88,头晕,0,1,121079
U476,连翘,S25,浮肿,1,1,121079
U45,百合,S25,浮肿,0,1,121079
U659,肉桂,S501,主观性眩晕,0,0,121079
U305,诃子,S501,主观性眩晕,0,0,121079
U417,金荞麦,S87,头痛,0,0,121079
U951,银杏叶,S48,咳嗽,0,0,121079
U59,北沙参,S88,头晕,0,1,121079
U779,桃仁,S48,咳嗽,0,1,121079
U156,丹皮,S48,咳嗽,0,1,121079
U875,香橼,S25,浮肿,0,0,121079
U201,杜仲,S87,头痛,0,1,121079
U971,月季花,S25,浮肿,0,0,121079
U901,玄参,S398,痛觉过敏,0,0,121075
U963,郁金,S398,痛觉过敏,0,0,121075
U242,附子,S87,头痛,0,1,121075
U513,鹿衔草,S398,痛觉过敏,0,0,121075
U339,胡椒,S398,痛觉过敏,0,0,121075
U196,独活,S87,头痛,0,1,121075
U979,泽兰,S398,痛觉过敏,0,0,121075
U474,荔枝核,S398,痛觉过敏,0,0,121075
U106,陈皮,S398,痛觉过敏,0,0,121029.5
U944,益智仁,S398,痛觉过敏,0,0,121029.5
U474,荔枝核,S25,浮肿,0,0,121029.5
U627,牵牛子,S25,浮肿,0,1,121029.5
U274,瓜蒌,S398,痛觉过敏,0,0,121029.5
U962,玉竹,S48,咳嗽,0,1,121013
U374,黄芪,S398,痛觉过敏,0,0,120978
U716,生姜,S27,腹痛,0,1,120978
U979,泽兰,S27,腹痛,1,1,120978
U244,甘草,S48,咳嗽,0,1,120978
U790,天山雪莲,S48,咳嗽,0,0,120978
U87,苍术,S398,痛觉过敏,0,0,120978
U654,忍冬藤,S398,痛觉过敏,0,0,120978
U117,川贝,S48,咳嗽,0,1,120978
U829,乌药,S398,痛觉过敏,0,0,120978
U93,侧柏叶,S48,咳嗽,0,1,120978
U55,半枝莲,S398,痛觉过敏,0,0,120978
U858,细辛,S48,咳嗽,0,1,120978
U91,草乌,S48,咳嗽,0,0,120978
U841,五味子,S48,咳嗽,0,1,120978
U95,柴胡,S27,腹痛,0,1,120942
U129,椿皮,S398,痛觉过敏,0,0,120789.5
U129,椿皮,S25,浮肿,0,0,120789.5
U748,水飞蓟,S398,痛觉过敏,0,0,120789.5
U999,枳实,S48,咳嗽,1,1,120789.5
U734,石韦,S48,咳嗽,0,1,120789.5
U423,金银花,S398,痛觉过敏,0,0,120789.5
U106,陈皮,S48,咳嗽,0,1,120789.5
U76,槟榔,S398,痛觉过敏,0,0,120789.5
U91,草乌,S25,浮肿,0,0,120789.5
U862,仙茅,S87,头痛,0,0,120789.5
U59,北沙参,S48,咳嗽,0,1,120789.5
U810,土茯苓,S398,痛觉过敏,0,0,120789.5
U59,北沙参,S501,主观性眩晕,0,0,120789.5
U826,乌梅,S398,痛觉过敏,0,0,120789.5
U892,杏仁,S25,浮肿,1,1,120789.5
U286,桂枝,S25,浮肿,1,1,120789.5
U578,木瓜,S88,头晕,0,1,120789.5
U838,五加皮,S25,浮肿,0,1,120789.5
U627,牵牛子,S398,痛觉过敏,0,0,120789.5
U372,黄连,S360,湿疹性皮炎,0,0,120789.5
U674,桑白皮,S87,头痛,0,1,120789.5
U35,白屈菜,S48,咳嗽,0,0,120789.5
U375,黄芩,S87,头痛,0,1,120789.5
U484,灵芝,S398,痛觉过敏,0,0,120789.5
U901,玄参,S06,便秘,1,1,120789.5
U393,蒺藜,S87,头痛,0,0,120789.5
U338,胡黄连,S398,痛觉过敏,0,0,120789.5
U474,荔枝核,S48,咳嗽,0,0,120789.5
U62,荜茇,S398,痛觉过敏,0,0,120789.5
U476,连翘,S398,痛觉过敏,0,0,120789.5
U918,亚麻子,S27,腹痛,0,0,120789.5
U852,西洋参,S48,咳嗽,0,1,120789.5
U950,银柴胡,S87,头痛,0,0,120789.5
U858,细辛,S62,呕吐,0,1,120789.5
U527,麻黄,S48,咳嗽,1,1,120789.5
U858,细辛,S87,头痛,0,1,120789.5
U959,鱼腥草,S25,浮肿,0,1,120789.5
U952,淫羊藿,S25,浮肿,0,1,120789.5
U650,人参,S27,腹痛,1,1,120789.5
U730,石榴,S48,咳嗽,0,1,120789.5
U597,牛黄,S62,呕吐,0,0,120789.5
U716,生姜,S48,咳嗽,0,1,120789.5
U459,款冬花,S398,痛觉过敏,0,0,120789.5
U995,栀子,S398,痛觉过敏,0,0,120789.5
U631,羌活,S398,痛觉过敏,0,0,120789.5
U582,木通,S48,咳嗽,0,0,120789.5
U454,苦楝皮,S48,咳嗽,0,0,120789.5
U234,佛手,S25,浮肿,1,1,120689.5
U1025,紫草,S360,湿疹性皮炎,0,0,120689.5
U650,人参,S25,浮肿,0,1,120689.5
U54,半夏,S88,头晕,0,1,120689.5
U496,龙胆,S87,头痛,0,0,120689.5
U710,麝香,S25,浮肿,0,0,120689.5
U118,川楝子,S48,咳嗽,0,1,120689.5
U544,蔓荆子,S398,痛觉过敏,0,0,120689.5
U650,人参,S306,皮疹,0,0,120689.5
U810,土茯苓,S06,便秘,0,1,120689.5
U439,桔梗,S25,浮肿,0,1,120689.5
U201,杜仲,S25,浮肿,1,1,120689.5
U597,牛黄,S501,主观性眩晕,0,0,120689.5
U650,人参,S501,主观性眩晕,0,0,120689.5
U901,玄参,S48,咳嗽,1,1,120689.5
U447,决明子,S88,头晕,0,1,120689.5
U668,三棱,S25,浮肿,0,1,120689.5
U164,党参,S25,浮肿,1,1,120689.5
U861,仙鹤草,S87,头痛,0,1,120689.5
U133,刺五加,S25,浮肿,0,0,120689.5
U505,芦荟,S25,浮肿,0,0,120689.5
U396,姜黄,S48,咳嗽,0,1,120689.5
U852,西洋参,S25,浮肿,1,1,120689.5
U679,桑叶,S501,主观性眩晕,0,0,120689.5
U205,莪术,S88,头晕,0,1,120689.5
U171,地枫皮,S25,浮肿,0,0,120689.5
U884,小蓟,S06,便秘,0,1,120689.5
U349,虎杖,S25,浮肿,1,1,120689.5
U716,生姜,S501,主观性眩晕,0,0,120689.5
U700,蛇床子,S25,浮肿,0,1,120689.5
U607,藕,S25,浮肿,0,1,120689.5
U607,藕,S71,身黄,0,1,120689.5
U211,番泻叶,S88,头晕,0,0,120689.5
U998,枳壳,S25,浮肿,0,1,120689.5
U680,桑枝,S48,咳嗽,0,0,120689.5
U87,苍术,S88,头晕,0,1,120689.5
U79,补骨脂,S06,便秘,0,1,120689.5
U784,天冬,S48,咳嗽,0,1,120689.5
U765,苏合香,S06,便秘,0,0,120689.5
U944,益智仁,S88,头晕,0,1,120689.5
U363,黄柏,S360,湿疹性皮炎,0,0,120689.5
U214,防风,S398,痛觉过敏,0,0,120689.5
U682,沙苑子,S25,浮肿,0,1,120689.5
U995,栀子,S48,咳嗽,1,1,120689.5
U18,白果,S501,主观性眩晕,0,0,120689.5
U155,丹参,S48,咳嗽,0,1,120689.5
U173,地骨皮,S48,咳嗽,1,1,120640
U242,附子,S62,呕吐,0,1,120352
U463,莱菔子,S88,头晕,0,1,120283
U963,郁金,S71,身黄,1,1,120283
U26,白蔹,S398,痛觉过敏,0,0,120283
U856,豨莶草,S88,头晕,0,0,120283
U585,木贼,S87,头痛,0,1,120283
U971,月季花,S398,痛觉过敏,0,0,120283
U785,天花粉,S25,浮肿,1,1,120283
U912,鸦胆子,S06,便秘,0,0,120283
U36,白芍,S20,发热,1,1,120283
U858,细辛,S501,主观性眩晕,0,0,120283
U716,生姜,S71,身黄,0,1,120283
U869,香附,S48,咳嗽,1,1,120283
U579,木蝴蝶,S87,头痛,0,0,120283
U18,白果,S48,咳嗽,0,1,120283
U36,白芍,S501,主观性眩晕,0,0,120283
U594,牛蒡子,S87,头痛,0,1,120283
U180,地榆,S25,浮肿,0,1,120283
U560,梅花,S48,咳嗽,0,0,120283
U185,丁香,S48,咳嗽,0,1,120283
U120,川芎,S62,呕吐,1,1,120283
U120,川芎,S48,咳嗽,1,1,120283
U314,黑豆,S48,咳嗽,0,0,120283
U716,生姜,S20,发热,0,0,120283
U534,马钱子,S87,头痛,0,0,120283
U694,山楂,S25,浮肿,0,1,120283
U150,大枣,S501,主观性眩晕,0,0,120283
U120,川芎,S71,身黄,1,1,120283
U266,狗脊,S07,便溏,0,1,120283
U697,山茱萸,S48,咳嗽,0,1,120283
U314,黑豆,S87,头痛,0,0,120283
U430,荆芥,S48,咳嗽,0,1,120283
U496,龙胆,S48,咳嗽,0,1,120283
U566,密蒙花,S48,咳嗽,0,0,120283
U945,薏苡仁,S25,浮肿,1,1,120283
U50,板蓝根,S25,浮肿,1,1,120283
U5,艾叶,S48,咳嗽,0,1,120283
U748,水飞蓟,S48,咳嗽,0,0,120283
U297,海金沙,S27,腹痛,0,1,120283
U297,海金沙,S398,痛觉过敏,0,0,120283
U795,甜瓜子,S87,头痛,0,0,120283
U425,金樱子,S398,痛觉过敏,0,0,120283
U602,牛膝,S48,咳嗽,1,1,120283
U795,甜瓜子,S104,厌食,0,0,120283
U162,当归,S48,咳嗽,1,1,120283
U34,白前,S87,头痛,0,0,120283
U437,韭菜,S25,浮肿,0,0,120283
U467,老鹳草,S48,咳嗽,0,0,120283
U776,檀香,S25,浮肿,0,0,120283
U76,槟榔,S06,便秘,0,1,120283
U578,木瓜,S25,浮肿,1,1,120283
U39,白薇,S20,发热,0,1,120283
U262,葛根,S62,呕吐,0,1,120283
U446,卷柏,S25,浮肿,0,0,120283
U146,大青叶,S306,皮疹,0,0,120283
U156,丹皮,S87,头痛,0,1,120283
U901,玄参,S25,浮肿,0,1,120283
U628,前胡,S87,头痛,0,1,120283
U687,山椒,S20,发热,0,0,120283
U871,香加皮,S25,浮肿,0,0,120283
U248,甘遂,S25,浮肿,0,0,120283
U338,胡黄连,S48,咳嗽,0,0,120283
U959,鱼腥草,S87,头痛,0,0,120283
U575,木鳖子,S25,浮肿,0,0,120283
U104,沉香,S25,浮肿,0,0,120283
U680,桑枝,S398,痛觉过敏,0,0,120283
U408,金沸草,S48,咳嗽,0,0,120283
U62,荜茇,S87,头痛,0,0,120283
U875,香橼,S17,恶心,0,0,120283
U628,前胡,S48,咳嗽,0,1,120283
U55,半枝莲,S48,咳嗽,1,1,120283
U700,蛇床子,S360,湿疹性皮炎,0,0,120283
U360,槐角,S25,浮肿,0,1,120283
U50,板蓝根,S21,乏力,0,1,120283
U513,鹿衔草,S48,咳嗽,0,0,120283
U359,槐花,S501,主观性眩晕,0,0,120283
U584,木香,S25,浮肿,1,1,120283
U174,地黄,S87,头痛,0,1,120283
U439,桔梗,S398,痛觉过敏,0,0,120283
U630,茜草,S398,痛觉过敏,0,0,120283
U416,金钱草,S25,浮肿,1,1,120283
U533,马兜铃,S25,浮肿,0,0,120283
U195,豆蔻,S07,便溏,0,1,120283
U462,辣椒,S398,痛觉过敏,0,0,120283
U54,半夏,S106,抑郁,0,0,120283
U189,冬瓜皮,S398,痛觉过敏,0,0,120283
U898,徐长卿,S87,头痛,0,0,120283
U627,牵牛子,S27,腹痛,0,1,120283
U175,地锦草,S48,咳嗽,0,0,120283
U539,满山红,S48,咳嗽,0,0,120283
U682,沙苑子,S87,头痛,0,0,120283
U748,水飞蓟,S71,身黄,0,0,120283
U242,附子,S06,便秘,0,1,120283
U443,橘红,S87,头痛,0,1,120283
U650,人参,S07,便溏,0,1,120283
U669,三七,S25,浮肿,0,1,120283
U393,蒺藜,S25,浮肿,0,1,120283
U529,麻仁,S48,咳嗽,0,1,120283
U242,附子,S48,咳嗽,1,1,120283
U12,巴戟天,S20,发热,0,1,120283
U979,泽兰,S25,浮肿,0,1,120283
U948,茵陈,S398,痛觉过敏,0,0,120283
U484,灵芝,S25,浮肿,0,1,120283
U164,党参,S306,皮疹,0,0,120283
U305,诃子,S48,咳嗽,0,1,120283
U639,青果,S398,痛觉过敏,0,0,120283
U242,附子,S20,发热,0,1,120283
U650,人参,S398,痛觉过敏,0,0,120283
U998,枳壳,S48,咳嗽,0,1,120283
U119,川乌,S20,发热,0,0,120283
U579,木蝴蝶,S27,腹痛,0,1,120283
U952,淫羊藿,S501,主观性眩晕,0,0,120018.5
U959,鱼腥草,S88,头晕,0,1,120018.5
U602,牛膝,S501,主观性眩晕,0,0,120007
U164,党参,S88,头晕,0,1,120007
U150,大枣,S398,痛觉过敏,0,0,119958.5
U999,枳实,S398,痛觉过敏,0,0,119958.5
U1025,紫草,S398,痛觉过敏,0,0,119958.5
U716,生姜,S398,痛觉过敏,0,0,119928
U513,鹿衔草,S501,主观性眩晕,0,0,119927
U995,栀子,S25,浮肿,1,1,119927
U713,升麻,S501,主观性眩晕,0,0,119927
U950,银柴胡,S88,头晕,0,1,119927
U446,卷柏,S48,咳嗽,0,0,119927
U108,赤芍,S501,主观性眩晕,0,0,119927
U871,香加皮,S501,主观性眩晕,0,0,119927
U631,羌活,S88,头晕,0,1,119927
U790,天山雪莲,S25,浮肿,0,0,119927
U164,党参,S501,主观性眩晕,0,0,119927
U631,羌活,S25,浮肿,0,1,119927
U375,黄芩,S25,浮肿,1,1,119927
U417,金荞麦,S27,腹痛,0,1,119927
U125,穿心莲,S398,痛觉过敏,0,0,119911
U914,鸭跖草,S25,浮肿,0,0,119865.5
U858,细辛,S17,恶心,0,1,119865.5
U658,肉豆蔻,S87,头痛,0,0,119865.5
U628,前胡,S398,痛觉过敏,0,0,119852
U305,诃子,S87,头痛,0,0,119852
U325,红花,S87,头痛,0,1,119852
U697,山茱萸,S87,头痛,0,1,119852
U142,大戟,S25,浮肿,0,0,119852
U829,乌药,S87,头痛,0,0,119852
U709,射干,S398,痛觉过敏,0,0,119852
U765,苏合香,S25,浮肿,0,0,119852
U375,黄芩,S62,呕吐,0,1,119852
U95,柴胡,S71,身黄,1,1,119852
U795,甜瓜子,S20,发热,0,0,119852
U37,白术,S501,主观性眩晕,0,0,119852
U52,半边莲,S360,湿疹性皮炎,0,0,119852
U119,川乌,S27,腹痛,0,0,119852
U716,生姜,S306,皮疹,0,0,119852
U439,桔梗,S87,头痛,0,1,119852
U594,牛蒡子,S20,发热,0,1,119852
U108,赤芍,S87,头痛,0,1,119852
U363,黄柏,S71,身黄,0,1,119852
U647,瞿麦,S20,发热,0,1,119852
U994,知母,S48,咳嗽,0,1,119852
U242,附子,S07,便溏,0,1,119852
U446,卷柏,S398,痛觉过敏,0,0,119850
U17,白附子,S398,痛觉过敏,0,0,119814
U59,北沙参,S398,痛觉过敏,0,0,119814
U875,香橼,S398,痛觉过敏,0,0,119814
U372,黄连,S06,便秘,0,1,119775.5
U559,玫瑰花,S398,痛觉过敏,0,0,119626.5
U817,菟丝子,S398,痛觉过敏,0,0,119625.5
U735,使君子,S48,咳嗽,0,0,119625.5
U423,金银花,S48,咳嗽,1,1,119625.5
U108,赤芍,S398,痛觉过敏,0,0,119625.5
U713,升麻,S20,发热,0,1,119625.5
U396,姜黄,S398,痛觉过敏,0,0,119598.5
U442,橘核,S398,痛觉过敏,0,0,119597.5
U582,木通,S360,湿疹性皮炎,0,0,119537.5
U375,黄芩,S21,乏力,0,1,119537.5
U826,乌梅,S48,咳嗽,0,1,119537.5
U582,木通,S109,意识障碍,0,0,119537.5
U17,白附子,S48,咳嗽,0,0,119537.5
U214,防风,S20,发热,0,1,119537.5
U463,莱菔子,S501,主观性眩晕,0,0,119537.5
U862,仙茅,S48,咳嗽,0,1,119537.5
U297,海金沙,S20,发热,0,0,119537.5
U17,白附子,S501,主观性眩晕,0,0,119537.5
U721,石菖蒲,S88,头晕,1,1,119537.5
U160,淡豆豉,S501,主观性眩晕,0,0,119537.5
U504,芦根,S25,浮肿,0,1,119537.5
U262,葛根,S21,乏力,1,1,119537.5
U260,藁本,S25,浮肿,0,1,119537.5
U401,焦槟榔,S20,发热,0,0,119537.5
U951,银杏叶,S501,主观性眩晕,0,0,119537.5
U164,党参,S06,便秘,1,1,119537.5
U918,亚麻子,S501,主观性眩晕,0,0,119537.5
U767,苏子,S20,发热,0,1,119537.5
U188,冬虫夏草,S501,主观性眩晕,0,0,119537.5
U374,黄芪,S06,便秘,1,1,119537.5
U236,茯苓,S88,头晕,0,1,119537.5
U930,洋金花,S25,浮肿,0,0,119537.5
U147,大蒜,S25,浮肿,0,0,119537.5
U959,鱼腥草,S21,乏力,0,1,119537.5
U374,黄芪,S88,头晕,1,1,119537.5
U779,桃仁,S06,便秘,0,1,119537.5
U678,桑椹,S25,浮肿,0,1,119537.5
U268,枸杞,S501,主观性眩晕,0,0,119537.5
U659,肉桂,S88,头晕,0,1,119537.5
U1025,紫草,S25,浮肿,0,1,119537.5
U658,肉豆蔻,S501,主观性眩晕,0,0,119537.5
U691,山柰,S20,发热,0,0,119537.5
U417,金荞麦,S25,浮肿,0,1,119537.5
U674,桑白皮,S501,主观性眩晕,0,0,119537.5
U175,地锦草,S501,主观性眩晕,0,0,119537.5
U124,穿山龙,S88,头晕,0,0,119537.5
U305,诃子,S88,头晕,0,0,119537.5
U684,山慈菇,S87,头痛,0,0,119537.5
U351,花椒,S501,主观性眩晕,0,0,119537.5
U668,三棱,S71,身黄,0,1,119537.5
U710,麝香,S48,咳嗽,0,0,119537.5
U597,牛黄,S06,便秘,0,1,119537.5
U795,甜瓜子,S07,便溏,0,0,119537.5
U875,香橼,S71,身黄,0,0,119537.5
U156,丹皮,S501,主观性眩晕,0,0,119537.5
U945,薏苡仁,S398,痛觉过敏,0,0,119537.5
U141,大黄,S501,主观性眩晕,0,0,119537.5
U959,鱼腥草,S501,主观性眩晕,0,0,119537.5
U774,锁阳,S48,咳嗽,0,0,119537.5
U479,莲子,S25,浮肿,0,1,119537.5
U207,儿茶,S25,浮肿,0,0,119537.5
U34,白前,S25,浮肿,0,1,119537.5
U45,百合,S48,咳嗽,0,1,119537.5
U941,伊贝母,S48,咳嗽,0,0,119537.5
U790,天山雪莲,S87,头痛,0,0,119537.5
U480,莲子心,S48,咳嗽,0,0,119537.5
U971,月季花,S48,咳嗽,0,0,119537.5
U614,蒲黄,S88,头晕,0,1,119537.5
U248,甘遂,S88,头晕,0,0,119537.5
U162,当归,S398,痛觉过敏,0,0,119537.5
U569,墨旱莲,S88,头晕,0,1,119537.5
U730,石榴,S501,主观性眩晕,0,0,119537.5
U360,槐角,S88,头晕,0,0,119537.5
U597,牛黄,S25,浮肿,0,1,119537.5
U168,灯心草,S104,厌食,0,0,119537.5
U372,黄连,S21,乏力,1,1,119537.5
U640,青蒿,S25,浮肿,1,1,119537.5
U37,白术,S88,头晕,1,1,119537.5
U476,连翘,S48,咳嗽,1,1,119537.5
U382,藿香,S25,浮肿,1,1,119537.5
U650,人参,S71,身黄,1,1,119537.5
U76,槟榔,S501,主观性眩晕,0,0,119537.5
U108,赤芍,S88,头晕,0,1,119537.5
U36,白芍,S88,头晕,1,1,119537.5
U606,女贞子,S501,主观性眩晕,0,0,119537.5
U999,枳实,S87,头痛,0,1,119537.5
U196,独活,S501,主观性眩晕,0,0,119537.5
U963,郁金,S07,便溏,0,1,119537.5
U999,枳实,S501,主观性眩晕,0,0,119537.5
U155,丹参,S88,头晕,0,1,119436
U76,槟榔,S27,腹痛,1,1,119436
U4,矮地茶,S48,咳嗽,0,1,119436
U1031,紫苏叶,S25,浮肿,0,1,119436
U852,西洋参,S398,痛觉过敏,0,0,119436
U505,芦荟,S80,四肢抽搐,0,0,119436
U265,钩藤,S501,主观性眩晕,0,0,119436
U970,远志,S27,腹痛,0,1,119436
